,Model,RMSE,Category,Config,Time_s
1,Residual QRC (Ascella),0.04315140459561622,QRC,"8m/4p, ascella",11.29383635520935
2,Final Retrained (best),0.04315140459561622,Final,best architecture retrained 80 epochs,37.46274161338806
3,Residual QRC (Belenos),0.04318324313955259,QRC,"8m/4p, belenos",12.364513158798218
4,Residual Hybrid,0.04328406091487478,Hybrid,"8m/4p, alpha=0.0335",34.29071593284607
5,Residual QRC (Ideal),0.04330664166065253,QRC,"8m/4p, none",6.224630832672119
6,Linear Regression,0.04371489144323422,Classical,PCA(6),0.07262659072875977
7,GRU (h=10),0.04598652528205666,Classical (DL),"raw 5-step, 9544 params",0.6900515556335449
8,LSTM (h=8),0.04764434917643103,Classical (DL),"raw 5-step, 9504 params",1.3531267642974854
9,"MLP (128, 64, 32)",0.04887818393053144,Classical,PCA(6),0.09349656105041504
10,"MLP (64, 32)",0.05066389038980231,Classical,PCA(6),0.18192076683044434
11,QRC Pure (Ideal),0.1683226493402447,QRC,"8m/4p, none",6.141850233078003
12,QPU-Ascella 12m/6p,0.18642681862396118,Quantum (Standard),12m/6p,49.958988189697266
13,Small 6m/3p,0.1902525352890343,Quantum (Standard),6m/3p,13.503657579421997
14,Max 20m/10p,0.1909862918017913,Quantum (Standard),20m/10p,175.733008146286
15,Medium 10m/5p,0.19172958025736062,Quantum (Standard),10m/5p,34.70623707771301
16,Re-uploading 1x,0.1927934931117144,Quantum (Re-upload),"8m/4p, 1 stage(s)",9.221513032913208
17,Large 16m/8p,0.19727764057636146,Quantum (Standard),16m/8p,89.20528888702393
18,Re-uploading 3x,0.20420150842208443,Quantum (Re-upload),"8m/4p, 3 stage(s)",24.22582244873047
19,Re-uploading 2x,0.20489954098282778,Quantum (Re-upload),"8m/4p, 2 stage(s)",16.753556966781616
